oare_id,src_words,tgt_words,word_ratio,gap_count,transliteration,translation
08f7b5b5-8a52-43af-a30a-ad9c11ce8de7,68,1,0.014705882352941176,0,lu-lu en-nam-a-šur ù a-bu-um-ša-lim ša ki-ma a-šùr-DU₁₀ DUMU e-lá-ma a-na a-šur-DU₁₀ DUMU a-lá-ḫi-im iṣ-bu-tù-ni-a-tí-ma um-ma šu-nu-ma ší-im 21 GÚ 9 ma-na URUDU ma-sí-im ša a-šur-DU₁₀ DUMU e-lá-ma ša i-na É-tí-kà i-ni-id-ú a-na ší-mì-im ta-dí-šu um-ma a-šur-DU₁₀-ma a-dí-šu-ma 17.8333 ma-na 2 GÍN KÙ.BABBAR ší-im-šu na-áš-a-ku eq-lam a šu-mì a-šur-DU₁₀ DUMU e-lá-ma KÙ.BABBAR e-tí-iq a-na a-wa-tim a-ni-a-tim kà-ru-um bu-ru-uš-ḫa-tum i-dí-ni-a-tí-ma ší-bu-tí-ni IGI GÍR ša a-šur ni-dí-in IGI i-ku-pì-a IGI ú-ṣú-ur-ša-a-šur,"Lullu,"
b6751766-7f8c-4cc6-89a1-64a1198cf4ca,103,8,0.07766990291262135,29,bu-<gap> a-na kur-ub-IŠTAR <gap> iṣ-bu-tù-ni-a-tí <gap> ù bi-<gap> ší-bi lá <gap> ù iš-tù <gap> ù ṣú-ḫa-ru <gap> a-na ṣé-er <gap> um-ma a-ta-ma <gap> kur-ub-IŠTAR <gap> bi šu <gap> ša a-šur <gap> a-šur ú ki-<gap>-dam ḫa-bu-lá-tí <gap> ḫa-bu-lá-tí-ni ší <gap> eq-lam a šu-mì-kà e-tí-iq DAM.GÀR-kà lu-ṭá-i-bu <gap> ša ni-iš a-lim{ki} ta-mu-ú lu ú-kà-al KÙ.BABBAR <gap> ma-la a-aḫ-šu lá i-<gap> u₄-mu lá i-ma-i-du <gap> lá i-ta-ba-al <gap> KÙ.BABBAR 1 GÚ 3 ma-na <gap> KÙ.BABBAR-áp qí-ip-tim <gap> wa-at-ra-<gap> lu-ub-lu <gap> ù ru-ba-um <gap> il₅-pu-ut a-na a-wa-tim a-ni-a-tim kà-ru-um <gap> i-dí-ni-a-tí-ma ší-bu-tí-ni ni-dí-in IGI <gap> DUMU ili₅-ba-ni IGI ili₅-<gap> ma ší-bu-tí ì-lí-dan <gap> ù id-na-a-šur DUMU sú-e-ta-ta,Bu<gap> (and) <gap> seized us against Kurub-Ištar <gap>
8eb60135-fe29-4a3b-bad6-8f629e15e0b7,62,5,0.08064516129032258,14,<gap> šu-a-<gap> um-ma <gap> en-nam-a-šur <gap> bi-ma <gap> tám-kà-ri-im <gap> ḫu-a <gap> KÙ.BABBAR IGI e-ni-iš-ta-ru-um <gap> ni AN.NA-ki <gap> ší-a-ni <gap> ma <gap> ku-un-kà-ma a-na e-ni-iš-ta-ri-im dí-na-ma iš-tí ba-tí-qí-im ša a-na pá-ni ILLAT-tim i-lá-kà-ni lá i-sà-ḫu-ur ṭù-ur-da-ni-šu a-na-kam we-da-ku a-ḫu-a a-tù-nu e-ni-iš-ta-ra-am lá i-sà-ḫu-ur ṭù-ur-da-ni-šu mì-li-ik lu-qú-tim <gap> bi-ri-im mì-il₅-kà sà-ḫe-er-tám ša 5 GÍN KÙ.BABBAR <gap> nim a-na ší-im <gap> mì-li-ik-šu-nu mì-il₅-kà,Obverse too broken for translation
efc3ed8c-e0a0-4902-8a5d-226001b68d96,69,6,0.08695652173913043,1,KIŠIB ka-ku-a DUMU i-dí-IŠTAR KIŠIB PUZUR₄-{d}IŠKUR DUMU i-dí-IŠTAR KIŠIB na-ra-am-a-šùr DUMU ì-dí-ba-ni KIŠIB ḫa-na-na DUMU DINGIR-kur-ub 0.3333 ma-na 5 GÍN KÙ.BABBAR ṣa-ru-pá-am ša ik-ri-bi ša me-er-ú DINGIR-kur-ub i-ṣé-er en-na-sú-in DUMU a-mur-{d}UTU ir-ší-ú-ni ki-ma me-er-e DINGIR-kur-ub KÙ.BABBAR ù ṣí-ba-sú ḫa-na-na ša-bu ṭup-pu-um ša 0.3333 ma-na 5 GÍN KÙ.BABBAR ša ḫu-bu-ul en-na-sú-in ša e-li-a-ni sà-ar šu-ma me-er-ú DINGIR-kur-ub a-na en-na-sú-in i-tù-ru-ú ḫa-na-na ú-ba-áb-šu KÙ.BABBAR ša IGI en-na-nim ù DUMU <gap> i-dí-nu-šu-ni,"Seal of Kakua, son of Iddin-Ištar"
2df72c22-1bb1-4032-8f17-68a82a56db01,97,10,0.10309278350515463,0,25 TÚG i-nu-mì ru-ba-um a-na ḫa-na-ak-na-ak i-li-ku a-dí-i 10 TÚG i-na 1 me-at 70 TÚG ša né-eš-tap-ku a-dí 18 TÚG ILLAT PUZUR₄.DINGIR DUMU sà-ba-sí-a ad-ma-ku 23 TÚG ILLAT i-ku-nim DUMU DINGIR.ILLAT ad-ma-ku 6 TÚG ILLAT šu-ku-bi₄-im DUMU bu-zi ad-ma-ku 1 TÚG ILLAT DUMU ba-sà-a ad-ma-ku 1 TÚG SIG₅ ILLAT a-ku-tim ad-ma-ku 1 TÚG SIG₅ ša en-um-a-šùr 1 TÚG i-a-um ILLAT a-ku-tim ad-ma-ku 6 TÚG i-a-ú-tim 3 TÚG ša e-lá-lí ILLAT e-lá-lí ad-ma-ku ŠU.NÍGIN 95 TÚG.ḪI.A i-na É.GAL-lim na-du me-eš-lí-a al-qé me-eš-lu-a a-ḫu-ru 12 TÚG i-a-ú-tum 3 TÚG ša a-mur-IŠTAR ILLAT sú-kà-lí-a DUMU me-na-nim ad-ma-ku mì-ma ú-lá al-qé,I deposited 25 textiles when the king went to hanaknak.
5962bdb0-7f70-48ab-872b-d54c47393987,122,13,0.10655737704918032,5,10 ma-na KÙ.BABBAR qá-dum ṣí-ba-tí-šu iš-tí en-na-sú-in ni-a-im il₅-qé 5 ma-na KÙ.BABBAR iš-tí a-mur-{d}UTU ša kà-tí-lá il₅-qé 6.6666 ma-na 5 GÍN KÙ.BABBAR ù ṣí-ba-tí-šu i-tù-um-li-a ša iš-tù MU.6.ŠÈ il₅-ta-qé-ú 1 ma-na KÙ.BABBAR iš-tí iš-pu-na-aḫ-šu <gap> 20 na-ru-uq <gap> i-na ša-tim <gap> ṣí-ib-tám il₅-qé 5 ma-na KÙ.BABBAR iš-tí i-ku-pí-a DUMU a-da-lá-al il₅-qé 2.3333 ma-na KÙ.BABBAR iš-tí ku-ku-a il₅-qé 5.3333 ma-na KÙ.BABBAR iš-tí ì-lí-dan ù sà-li-a <gap> il₅-qé 0.6666 ma-na 5 GÍN KÙ.BABBAR iš-tí i-tur₄-DINGIR il₅-qé 1 ma-na KÙ.BABBAR iš-tí šu-<gap> il₅-qé 3 ma-na 12 GÍN iš-tí ḫu-sà-ri i-na be-et kà-ri-im il₅-qé 3.3333 ma-na KÙ.BABBAR ša 2 ma-na KÙ.GI šál-ša-tù-šu 0.6666 ma-na KÙ.BABBAR ší-im 2 ANŠE 10 GÍN KÙ.BABBAR ší-im AN.NA 0.5 ma-na KÙ.BABBAR iš-tí DUMU a-du-du-a šu ba ba ni i-na ba-áb-tí-a il₅-qé,10 minas of silver including its interest he received from our own Enna-Suen.
23d4244d-9cea-4c20-b040-c32f1f722ce3,53,6,0.11320754716981132,1,um-ma e-na-sú-in-ma a-na a-šur-mu-ta-bi₄-il₅ ú a-šur-SIG₅ <gap> qí-bi₄-ma a-ḫu-ú-a a-tù-nu i-na {d}UTU-ši na-áš-pé-er-tí ta-ša-me-a-ni a-na a-šur-SIG₅ qí-bi₄-ma a-na ṣé-er KÙ.BABBAR ša a-ta ta-ni-iš-ú 1.5 ma-na KÙ.BABBAR ú 5 GÍN KÙ.KI a-na en-na-nim ú e-ni-ša-ru-um ku-nu-ki-a a-dí-in-ma a-na ṣé-ri-ku-nu na-ší ú a-na-ku a-we-el gi₅-mì-lim a-pu-tum i-ḫi-id-ma ší-ma-am ša ba-lá-ṭí-a ša-ma-a ṣú-ḫa-ru-a lá i-sà-ḫu-ur ṭur-da-ni-šu-nu,From Enna-Suen to Aššur-muttabbil and Aššur-damiq:
8f46f357-9971-427f-ac9a-7de23c9ce3a5,53,6,0.11320754716981132,0,KIŠIB ni-mar-IŠTAR DUMU ba-lá KIŠIB en-um-a-šur DUMU i-dí-sú-en₆ KIŠIB en-um-a-šur DUMU e-lá-ma i-dí-IŠTAR ù {d}NIN.ŠUBUR i-mì-ig-ru-ma É-tù ša kà-ni-iš ù ú-tù-up-tum ša i-dí-IŠTAR {d}NIN.ŠUBUR lá ṭá-ḫu a-na ḫu-bu-ul a-bi-šu-nu ki-la-la-šu-nu-ma i-za-zu a-na qú-bu-ur bu-zu-ur um-mì-šu-nu a-na gám-ri-im ù ḫu-bu-ul bu-zu-ur um-mì-šu-nu i-dí-IŠTAR-ma i-za-az i-nu-mì ša i-na a-lim i-za-ku-ú-ni É-tù ša kà-ni-iš lá i-ša-ku-nu,"Seal of Nimar-Ištar, son of Bala, "
aa963c56-2765-4559-aa63-873e490df0e1,52,6,0.11538461538461539,1,KIŠIB ta-mu-ri-a KIŠIB <gap> KIŠIB šar-bu-nu-a KIŠIB re-e-ma KIŠIB sú-la KIŠIB šu-{d}UTU KIŠIB ga-na-be-li 0.6666 ma-na LÁ 1 GÍN KÙ.BABBAR ší-im am-tim sú-la ù ga-na-be-li il₅-qé-ú am-tám iš-tí sú-la ù ga-na-be-li ga-za-zu iš-am-ší šu-ma ma-ma-an a-šu-mì am-tim a-na ga-za-zu i-tù-a-ar sú-la ù ga-na-be-li 0.6666 ma-na LÁ 1 GÍN KÙ.BABBAR i-ša-qú-lu ù a-ma-sú,"Seal of Tamuriya, seal of <gap>, "
0960dbf7-bab1-4613-bb18-f81927fa3313,140,17,0.12142857142857143,23,<gap> ni <gap> im ú-šé-bi-lá-ni a-na ma-la na-áš-pé-er-tim ša <gap> 80 ku-ta-nu ba-at-qú-ú ù i <gap> 20 GÚ bi-la-tim <gap> a-na ma-la na-áš-pé-er-tim <gap> GÚ AN.NA a-na ga <gap> GÚ a-ṣé-er AN.NA <gap> GÚ AN.NA ku-nu-ki-kà <gap> i-na ḫa-ra-nim a-la-ḫu-um <gap> ni-kà-sí iš-tí-a ù iš-tí ša ki-ma a-bi-a a-lá-ḫu-um i-sí-ma <gap> gám-ra-am ša ḫa-ra-nim ša <gap> ù ta-ak-ší-ir-tám <gap> 12 <gap> 0.5 ma-na 7 GÍN AN.NA i-<gap> qá-tí-a-la-ḫi-im ni-dí ší-tí TÚG ṣú-ba-tí-kà za mì <gap> 5 TÚG.ḪI.A <gap> 7 TÚG.ḪI.A i-na li-wi-tim <gap>-du-nim 3 me-at 60 TÚG.ḪI.A a-na É.GAL-lim e-ru-bu 18 TÚG ni-is-ḫa-tim iṣ-ḫu-ru-kà ú 24 TÚG a-na ší-mì-im i-na É.GAL-lim i-le-qé-ú 3 me-at 17 TÚG ku-ta-nu 44 <gap> ṣú-ba-tù ša li-wi-tim ŠU.NÍGIN 3 me-at TÚG 60 TÚG iz-ku-ú-nim i-na mì-ma a-nim <gap> me-at 44 ku-ta-ni <gap> e-zi-bu-ni a-la-ḫu-um <gap> ANŠE ṣa-lá-ma-am a-na 15 ḫa-am-ša-tim i-ṣé-er i-tur₄-DINGIR ni-dí-šu-nu <gap> t,<gap> he sent to me. In accordance with the missive of <gap> 80 kutānu-textiles have been dropped.
